iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"CNM","CORE & MAIN INC CLASS A","EQUITY","Industrials","Equity","355,345,254.51","355,345,254.51","6,165,977.00","57.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"WTRG","ESSENTIAL UTILITIES INC","EQUITY","Utilities","Equity","353,006,035.50","353,006,035.50","9,149,975.00","38.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"UNM","UNUM","EQUITY","Financials","Equity","352,531,124.54","352,531,124.54","4,977,847.00","70.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"EQH","EQUITABLE HOLDINGS INC","EQUITY","Financials","Equity","345,823,163.12","345,823,163.12","7,935,364.00","43.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"GWRE","GUIDEWIRE SOFTWARE INC","EQUITY","Information Technology","Equity","344,569,687.20","344,569,687.20","2,749,080.00","125.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"OSK","OSHKOSH CORP","EQUITY","Industrials","Equity","341,727,220.28","341,727,220.28","2,045,291.00","167.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","EQUITY","Industrials","Equity","340,304,708.97","340,304,708.97","1,219,599.00","279.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"ONTO","ONTO INNOVATION INC","EQUITY","Information Technology","Equity","340,276,487.49","340,276,487.49","1,584,819.00","214.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"RMBS","RAMBUS INC","EQUITY","Information Technology","Equity","333,462,651.80","333,462,651.80","3,480,821.00","95.80","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"SSB","SOUTHSTATE BANK CORP","EQUITY","Financials","Equity","333,341,435.04","333,341,435.04","3,250,209.00","102.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"ARMK","ARAMARK","EQUITY","Consumer Discretionary","Equity","332,836,778.12","332,836,778.12","8,499,407.00","39.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
